Nombre;Tipo;Descripción;Ubicación;Nivel;Resistencias;Debilidades
Lamia;Monstruo;Una criatura con cuerpo de mujer y cola de serpiente, que seduce a los viajeros para devorarlos.;Bosques, ríos;8;Quen;Aceite de lamia
Elemental de aire;Elemental;Criaturas de energía pura que controlan los vientos y las tormentas.;Cimas de montañas, altiplanos;10;Aard;Aceite de elemental
Hombre oso;Monstruo;Un hombre maldito que se transforma en oso debido a una antigua maldición.;Bosques, montañas;9;Moon Dust;Aceite de ogro
Arpía real;Bestia voladora;Una arpía más grande y feroz que sus parientes más comunes.;Montañas, áreas rocosas;8;Quen;Aceite de wyvern
Elemental de agua;Elemental;Criaturas de agua vivientes creadas por la magia elemental.;Lagos, ríos profundos;10;Aard;Aceite de elemental
Nekker Hambriento;Monstruo;Nekkers mutados con una ferocidad y resistencia aumentadas.;Cuevas, áreas subterráneas;7;Samum;Aceite de necrófagos
Espectro del fuego;Espíritu;Un espíritu de fuego que acecha lugares donde ocurrieron incendios trágicos.;Ruinas, bosques incendiados;8;Yrden;Aceite de espectro
Cockatrice Real;Bestia alada;Una versión más poderosa y mortal del cockatrice común.;Montañas, áreas rocosas;9;Quen;Aceite de basilisco
Estatua viviente;Elemental;Esculturas animadas por la magia antigua que protegen tesoros o lugares sagrados.;Ruinas, templos antiguos;7;Aard;Aceite de elemental
Hombre jabalí;Bestia;Criaturas salvajes que habitan en los bosques y son conocidas por su ferocidad.;Bosques, praderas;4;Igni;Aceite de lobo
Doppler;Monstruo;Seres cambiantes que pueden asumir la forma de cualquier humano o criatura.;Ciudades, áreas urbanas;9;Igni;Aceite de necrófagos
